TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
00HM,15164,70338T10,19FEB2015,22NOV2017,1
00HM,,,14DEC2017,31DEC2018,6
00I0,15145,10316T10,19FEB2015,31DEC2018,1
00I2,15169,B3856412,19FEB2015,27APR2015,1
00I2,15169,B3856410,14MAY2015,31DEC2018,1
00I2,,,14FEB2019,,6
00I7,15181,G7234P10,19MAR2015,31DEC2018,1
00I7,,,16MAY2019,,6
00I9,15171,04351P10,19MAR2015,31DEC2018,1
00IE,15220,45781D10,19MAR2015,31DEC2018,1
00II,14950,04624N10,19MAR2015,31DEC2018,1
00JA,15196,38983D30,19MAR2015,31DEC2018,1
00JB,14166,62945V10,19MAR2015,31DEC2018,1
00JC,15221,45780V10,19MAR2015,04JAN2018,1
00JC,15221,77313F10,18JAN2018,31DEC2018,1
00JH,13658,98395070,19MAR2015,13AUG2018,2
00JU,15274,86627R10,16APR2015,31DEC2018,1
00KV,15264,86614U10,16APR2015,31DEC2018,1
00L4,15270,63546L10,16APR2015,31DEC2018,1
00LB,15242,35352P10,14MAY2015,31DEC2018,1
00LK,,,14MAY2015,12JUL2017,6
00LU,15268,M2361E11,14MAY2015,03APR2018,1
00LU,,,14MAR2019,,6
00LV,15170,Y4671710,14MAY2015,31DEC2018,1
00MH,15278,69924M10,14MAY2015,31DEC2018,1
00MJ,15188,04929Q10,14MAY2015,18MAR2016,1
00NO,15339,09214X10,18JUN2015,29SEP2017,1
00NO,16917,09215C10,19OCT2017,31DEC2018,1
00O7,15370,19716T10,18JUN2015,28FEB2017,1
00O8,15378,00212010,18JUN2015,31DEC2018,1
00O8,,,18JUL2019,,6
00O9,15371,19459J10,18JUN2015,31DEC2018,1
00OE,15137,89620X50,18JUN2015,31DEC2018,3
00OG,14433,52748T10,18JUN2015,30JUN2015,1
00OG,14433,24549610,16JUL2015,31DEC2018,1
00ON,15336,33767E10,18JUN2015,31DEC2018,2
00PK,15390,33812L10,18JUN2015,31DEC2018,1
00PM,16070,92840H20,11MAY2016,31DEC2018,1
00PP,15344,21873010,16JUL2015,31DEC2018,1
00Q6,15398,16385110,16JUL2015,31DEC2018,1
00Q7,15396,05614L10,16JUL2015,31DEC2018,1
00Q7,,,15AUG2019,,6
00QF,15451,29272U10,16JUL2015,21NOV2016,1
00QG,15358,82509L10,16JUL2015,31DEC2018,1
00QU,15391,36473H10,16JUL2015,31DEC2018,1
00QV,15397,89055F10,16JUL2015,31DEC2018,1
00QZ,15400,29272W10,16JUL2015,31DEC2018,1
00R2,15399,44052W10,16JUL2015,31DEC2018,1
00R6,15440,97415510,16JUL2015,31DEC2018,1
00RA,,,16JUL2015,16SEP2015,6
00RA,15662,85238720,29SEP2015,03JAN2018,1
00RA,15662,85238730,18JAN2018,31DEC2018,1
00RC,13827,98887G10,16JUL2015,19MAR2018,1
00RJ,15432,65481J10,16JUL2015,24JUL2017,1
00RJ,15432,02083G10,17AUG2017,31DEC2018,1
00RK,15418,20651910,16JUL2015,29JUN2016,2
00RK,15418,20653P10,30JUN2016,07JUN2018,5
00RK,,,14JUN2018,,6
00RL,15430,60255W10,16JUL2015,31DEC2018,1
00RO,14128,15146110,16JUL2015,31DEC2018,1
00RU,15062,81362J10,20AUG2015,31DEC2018,1
00RX,15416,14875P10,20AUG2015,30DEC2018,1
00RX,,,17JAN2019,,6
00RZ,15409,01164210,20AUG2015,31DEC2018,1
00S8,15590,90915J10,20AUG2015,31DEC2018,1
00S9,15478,89400J10,20AUG2015,31DEC2018,1
00SG,15324,65500B10,20AUG2015,31DEC2018,2
00SZ,15466,59870L10,20AUG2015,31DEC2018,1
00T2,15541,75342210,20AUG2015,31DEC2018,1
00TA,14675,87876P20,20AUG2015,31DEC2018,1
00TC,15531,64052L10,20AUG2015,31DEC2018,1
00TI,15533,63016Q10,17SEP2015,31DEC2018,1
00TR,15523,88104M10,17SEP2015,28DEC2017,1
00TU,15630,00900T10,17SEP2015,31DEC2018,1
00TY,15514,31985Q10,17SEP2015,30JUN2017,1
00U5,15642,M5364410,17SEP2015,31DEC2018,1
00UB,15623,44159310,17SEP2015,31DEC2018,1
00UC,15638,37890U10,17SEP2015,31DEC2018,1
00UW,,,15OCT2015,30SEP2016,6
00UX,15647,78469X10,15OCT2015,31DEC2018,1
00V4,15532,62913F50,15OCT2015,31DEC2018,1
00V5,15724,71377A10,15OCT2015,31DEC2018,1
00VC,15694,70975L10,15OCT2015,31DEC2018,1
00VL,15586,88650V20,19NOV2015,31DEC2018,1
00VP,15703,32008D10,19NOV2015,31DEC2018,1
00VQ,15735,N3167J10,19NOV2015,03JAN2016,1
00VQ,15735,N3167Y10,14JAN2016,31DEC2018,1
00VV,,,19NOV2015,28FEB2019,6
00VY,15774,01748H10,19NOV2015,31DEC2018,1
00VZ,15775,00461U10,19NOV2015,31DEC2018,1
00W1,15793,12634H10,19NOV2015,19DEC2017,1
00W1,15793,12634H20,18JAN2018,31DEC2018,1
00W3,15708,66706L10,19NOV2015,31DEC2018,1
00WB,15710,30227H10,19NOV2015,31DEC2018,1
00WF,15711,02589Y10,19NOV2015,01FEB2017,1
00WW,14045,53521910,17DEC2015,31DEC2018,1
00WY,15850,57665R10,17DEC2015,31DEC2018,1
00XB,15824,45781U10,17DEC2015,31DEC2018,1
00XO,15858,98415E30,17DEC2015,14OCT2016,1
00XO,,,17NOV2016,30SEP2018,6
00XR,15831,05464T10,17DEC2015,31DEC2018,1
00YE,15859,05351W10,14JAN2016,31DEC2018,1
00YO,15577,48205B10,14JAN2016,13MAR2018,1
00YT,15909,G0624210,14JAN2016,31DEC2018,1
00Z6,15948,65406E10,24FEB2016,31DEC2018,1
010U,15921,56356810,17MAR2016,05MAR2017,1
010U,15921,94909010,16MAR2017,31DEC2018,1
010V,15950,74373B10,17MAR2016,31DEC2018,1
011Y,15960,22101510,19MAY2016,31DEC2018,1
0124,15584,81752R10,19MAY2016,31DEC2018,1
012B,15853,74967R10,19MAY2016,31DEC2018,1
012D,17402,05491G10,19MAY2016,28FEB2017,1
012R,16024,02922710,19MAY2016,31DEC2018,1
0133,16019,75700L10,16JUN2016,31DEC2018,1
013E,16082,82982L10,16JUN2016,31DEC2018,1
013T,16063,59774210,16JUN2016,31DEC2018,1
013U,16077,40054A10,16JUN2016,31DEC2018,1
013Z,16073,22164K10,14JUL2016,24AUG2018,1
014G,16100,63010410,14JUL2016,31DEC2018,1
014N,91575,42704L10,14JUL2016,31DEC2018,1
0153,16120,16954L10,14JUL2016,31DEC2018,1
015B,16106,69911U40,14JUL2016,26JAN2018,1
015F,15411,02314M10,14JUL2016,31JUL2017,2
015F,15411,85570W10,17AUG2017,31DEC2018,2
015G,16140,90138F10,18AUG2016,31DEC2018,1
016T,15292,14141X10,18AUG2016,05JUL2017,1
016U,16182,45320410,18AUG2016,31DEC2018,1
016W,16162,05070R10,18AUG2016,31DEC2018,1
017N,16268,04650Y10,15SEP2016,31DEC2018,1
017Q,16255,36870A10,15SEP2016,31DEC2018,1
017Z,16263,74366E10,15SEP2016,31DEC2018,1
0180,16260,58506Q10,15SEP2016,31DEC2018,1
0186,16647,91914N20,23MAR2017,31DEC2018,1
018W,16285,14070T10,20OCT2016,31DEC2018,1
019B,16304,67059N10,20OCT2016,31DEC2018,1
019G,16303,66988N10,20OCT2016,31DEC2018,1
019I,16318,26856L10,20OCT2016,31DEC2018,1
019L,16282,03835C10,20OCT2016,31DEC2018,1
